product_code;kebutuhan;created_at
706-PRO;0;20222
706-PHD;2;20222
706-TIS;5;20222
706-TER;0;20222
706-LBK;0;20222
706-DET;0;20222
706-DED;0;20222
706-BKG;0;20222
706-BBD;0;20222
706-BBY;0;20222
706-BBM;0;20222
706-BSL;0;20222
706-BMN;0;20222
706-BMH;0;20222
706-BSD;0;20222
706-BCR;0;20222
706-BSW;0;20222
706-BPC;0;20222
706-BSM;0;20222
706-BTM;0;20222
706-BKK;0;20222
706-BBC;0;20222
706-BTC;0;20222
706-BCB;0;20222
706-BJM;0;20222
706-KMG;0;20222
706-TSP;0;20222
706-PPK-1;1;20222
706-TNH;0;20222
706-CCP;0;20222
706-SBK;0;20222
706-KSC;0;20222
706-TOB;0;20222
706-MJK;0;20222
706-GUA;0;20222
706-GAB;0;20222
706-PHU;0;20222
706-PPK-2;0;20222
706-KSR;0;20222
706-PDA;0;20222
706-AGR;0;20222
706-ASK;0;20222
706-HNO;0;20222
706-BFR-1;0;20222
706-BFR-2;0;20222
706-DEX;0;20222
706-KAN;0;20222
706-FEE;0;20222
706-MKP;0;20222
706-ASF;0;20222
706-MGS;0;20222
706-CUS;0;20222
706-ZNS;0;20222
706-HBO;0;20222
706-AHM;0;20222
706-ASS;0;20222
706-NAA;0;20222
706-PPM;0;20222
706-NOH;0;20222
706-CAA;0;20222
706-BAG;0;20222
706-SUC;0;20222
706-IBA;0;20222
706-KCL;0;20222
706-AAG;0;20222
706-AAS;0;20222
706-PAC;0;20222
706-CAM;0;20222
706-LGL;0;20222
706-MER;0;20222
706-IAA;0;20222
706-HAK;0;20222
706-KOH;0;20222
706-BBA;10;20222
706-BUB;2000;20222
706-BKT;1000;20222
706-BBK;50000;20222
706-BBT;1;20222
706-PLY;5;20222
706-BTR;5;20222
706-KPS;5;20222
706-KRG;10;20222
706-GLM;4;20222
706-BTN;0;20222
706-BTA;0;20222
706-PPK-3;0;20222
706-PES;0;20222
706-BHK;0;20222
706-MBK;0;20222
706-MJM;0;20222
706-BMM;0;20222
706-BFG;0;20222
706-MTN;0;20222
706-ABM;0;20222
706-HER;0;20222
706-ICR;0;20222
706-INM;0;20222
706-PPK-4;0;20222
706-PPK-5;0;20222
706-BJV;0;20222
706-BCV;0;20222
706-BKP;0;20222
706-BKA;0;20222
706-BKU;0;20222
706-BSA;0;20222
706-BML;0;20222
