nama_bahan;satuan;stok;kebutuhan;updated_at
Mesran B Sae 40;ml;0;0;01/01/2024
Pertiwi Pingky Kangkung;g;0;0;01/01/2024
Deterjen;g;0;0;01/01/2024
Dedak ;g;0;0;01/01/2024
You Fragrant Bawang Daun ;g;0;0;01/01/2024
PM Maestro SP Bayam;g;0;0;01/01/2024
PM Mira (Bayam Merah) ;g;0;0;01/01/2024
PM Amigo SP Seledri;g;0;0;01/01/2024
PM Vanesa (Timun) ;g;0;0;01/01/2024
PM Bella Reg F1 (Mentimun Hyb) 20;g;0;0;01/01/2024
PM Grand Rapids (Lettuce) ;g;0;0;01/01/2024
PM Bara Reg (Cabe Rawit) ;g;0;0;01/01/2024
PM Shinta (Caisim) ;g;0;0;01/01/2024
Takii Pakchoy Green 20 ml;g;0;0;01/01/2024
You Red Rapid Lettuce Selada;g;0;0;01/01/2024
BA Natama SP F1 Tomat Super 0.15;g;0;0;01/01/2024
CS Cauliflower Tropical 10 g;g;0;0;01/01/2024
Buncis ;g;0;0;01/01/2024
MF Tomato Red Cherry;g;0;0;01/01/2024
PM Panex SP Cabe Besar F1;g;0;0;01/01/2024
Pertiwi Talenta Jagung Manis F1 250;g;0;0;01/01/2024
Kemangi;g;0;0;01/01/2024
TSP;g;0;3000;01/01/2024
Pupuk Kandang;karung;0;20;01/01/2024
Tomat Permata;bks;0;0;01/01/2024
Tomat Tantyna;bks;0;0;01/01/2024
Jagung Manis Bimmo 25 g;bks;0;0;01/01/2024
Tanah;karung;0;0;01/01/2024
Cocopeat;Karung;0;0;01/01/2024
Sekam Bakar;Karung;0;0;01/01/2024
Pupuk K Ksr;g;0;0;01/01/2024
Pupuk K Lils;g;0;0;01/01/2024
TOB;pcs;0;0;01/01/2024
Kompos;karung;0;0;01/01/2024
Tanah Lembang;karung;0;0;01/01/2024
Klinpak Alumunium Foil;pcs;0;0;01/01/2024
Fresh Seal Ware SW-22;pcs;0;0;01/01/2024
Lem Fox Kaleng;pcs;0;0;01/01/2024
Madu Murni 150 g;botol;0;0;01/01/2024
Swallow Agar Globe White;bungkus;0;0;01/01/2024
Duplex Tebal;lembar;0;0;01/01/2024
Plastik Parsel Tipis;rol;0;0;01/01/2024
Batuan Sedimen;pak;0;0;01/01/2024
Batuan Mineral;pak;0;0;01/01/2024
Batuan Beku;pak;0;0;01/01/2024
Kertas Saring;pak;0;0;01/01/2024
Potato Dextrose Agar 100 g;Botol;1;0;01/01/2024
Agar Lokal;g;500;0;01/01/2024
Arang Sekam ;karung;0;0;01/01/2024
Alkohol 95%;ml;0;0;01/01/2024
Asam Nitrat (HNO3);g;1000;0;01/01/2024
Buffer 7;ml;100;0;01/01/2024
Buffer 4;ml;250;0;01/01/2024
Dextrose;ml;500;0;01/01/2024
Spirtus;ml;0;0;01/01/2024
Pupuk Hyponex;box;0;0;01/01/2024
Clorox (byclean);botol;0;0;01/01/2024
Media NA;botol;1;0;01/01/2024
Kalsium Amonium Nitrat;g;2000;0;01/01/2024
Fe - EDTA;g;100;0;01/01/2024
Monokalium Posfat (MKP) (KH?PO?);g;2000;0;01/01/2024
Amonium Sulfat ((NH?)?SO?);g;2000;0;01/01/2024
Magnesium Sulfat (MgSO4);g;0;1000;01/01/2024
Tembaga Sulfat (CuSO4);g;200;0;01/01/2024
Seng Sulfat (ZnSO4);g;200;0;01/01/2024
Asam Borat (H3BO3);g;200;0;01/01/2024
Amonium Hepta Molibdat;g;10;0;01/01/2024
Parafin Padat/Lilin Malam;pcs;0;0;01/01/2024
Silika Gel;bungkus;0;0;01/01/2024
Lanolin;botol;0;0;01/01/2024
Vaselin ;botol;1;0;01/01/2024
IAA (AUXIN);botol;0;0;01/01/2024
GA3 (GIBERELIN);botol;0;0;01/01/2024
Asam Sitrat;g;0;0;01/01/2024
Naphthalene Acetic Acid (NAA);g;0;0;01/01/2024
PPM;ml;0;0;01/01/2024
Natrium Hidroksida (NaOH);g;500;0;01/01/2024
Arang/Carbon Aktif;g;2000;0;01/01/2024
Bakterisida Agrept;g;1000;0;01/01/2024
Fungisida Antracol;g;750;0;01/01/2024
Sukrosa;g;1000;0;01/01/2024
Indole Butyric Acid (IBA);g;5;0;01/01/2024
Kalium Klorida (KCl | KCL);g;1000;3000;01/01/2024
Asam Asetat Glasial;botol;2;0;01/01/2024
Asam Asetat;botol;2;0;01/01/2024
Paclobutrazol;g;1;0;01/01/2024
Citric Acid Monohydrate;g;1;0;01/01/2024
Teknis Lugol;botol;1;0;01/01/2024
Kalium Hidroksida (KOH);botol;1;0;01/01/2024
Benih Sayuran;bks;0;0;01/01/2024
Benih Bunga;bks;0;0;01/01/2024
Ubi;g;0;0;01/01/2024
Kentang;g;0;0;01/01/2024
Macam- macam Batu Batre;g;0;0;01/01/2024
Plastik;g;0;0;01/01/2024
Bahan Bakar;ml;0;0;01/01/2024
Bibit;pak;0;0;01/01/2024
Polybag;pak;0;10;01/01/2024
Macam Macam Baterai;pcs;0;0;01/01/2024
Praktikum Fisiologi Tumbuhan;pak;0;5;01/01/2024
Praktikum Dasperlintan;paket;0;1;01/01/2024
Karung;pcs;0;0;01/01/2024
Glumon;botol;0;0;01/01/2024
Alkohol 90%;ml;0;1000;01/01/2024
Benih Tanaman;bks;0;0;01/01/2024
Bahan Tanam;g;0;0;01/01/2024
Pupuk Organik;g;0;0;01/01/2024
Pupuk Kimia;g;0;0;01/01/2024
Pestisida;g;0;0;01/01/2024
Bahan Kimia;g;0;0;01/01/2024
ATK;pak;0;0;01/01/2024
Media Bakteri;botol;1;0;01/01/2024
Media Jamur;botol;1;0;01/01/2024
Biakan Murni Mikroorganisme;petri;0;0;01/01/2024
Biakan fungi;petri;0;0;01/01/2024
Media Tanam;karung;0;0;01/01/2024
AB MIX;paket;0;0;01/01/2024
Herbisida;botol;0;0;01/01/2024
Insektisida Curacron;Botol;0;0;01/01/2024
Jaring Serangga;lembar;0;0;01/01/2024
Petrogenol (Perangkap Serangga);botol;0;0;01/01/2024
Inokulum Mikoriza;g;0;0;01/01/2024
Pupuk NPK Mutiara;g;0;10000;01/01/2024
Urea;g;0;5000;01/01/2024
Ponska;pak;0;5;01/01/2024
Benih Jagung Var Paragon;pak;0;2;01/01/2024
Benih Jagung 4 Varietas;pak;0;4;01/01/2024
Benih Cabai 6 Varietas;pak;0;4;01/01/2024
Benih Cabai Rawit;pak;0;3;01/01/2024
Benih Bayam;pak;0;1;01/01/2024
Benih Kacang Panjang;pak;0;1;01/01/2024
Benih sawi;pak;0;2;01/01/2024
Benih Selada;pak;0;2;01/01/2024
Benih Mentimun;pak;0;2;01/01/2024
Benih Kangkung;pak;0;1;01/01/2024
Benih Kaylan;pak;0;1;01/01/2024
Benih Buncis;pak;0;2;01/01/2024
Benih Pakcoy;pak;0;2;01/01/2024
Benih Kubis;pak;0;1;01/01/2024
Benih Semangka;pak;0;2;01/01/2024
Benih Melon;pak;0;2;01/01/2024
Benih Rosela;pak;0;4;01/01/2024
Tray Semai 48 Lubang;pak;0;3;01/01/2024
Plastik Putih Ukuran 1kg;pak;0;2;01/01/2024
Plastik Putih Ukuran 1/2 kg;pak;0;4;01/01/2024
Plastik Zip Kecil;pak;0;1;01/01/2024
Plastik Kotak;pak;0;12;01/01/2024
Curacron;pak;0;1;01/01/2024
Fungisida Amistartop;pak;0;1;01/01/2024
Furadan;g;0;4000;01/01/2024
Kacang Kedelai;pak;0;1;01/01/2024
Kacang Hijau;pak;0;2;01/01/2024
AMP Samsons;pak;0;1;01/01/2024
Plastik 6 x 10 cm;pak;0;2;01/01/2024
Praktikum BPO dan BTLJB;pak;0;2;01/01/2024
