rencana_id;product_code;stok;kebutuhan;created_at;updated_at
1;706-AAG;2;0;01/07/2022;01/07/2022
1;706-AAT;2;0;01/07/2022;01/07/2022
1;706-PAC;1;0;01/07/2022;01/07/2022
1;706-CAM;1;0;01/07/2022;01/07/2022
1;706-TKL;1;0;01/07/2022;01/07/2022
1;706-KOH;1;0;01/07/2022;01/07/2022
1;706-BSS;0;0;01/07/2022;01/07/2022
1;706-BBG;0;0;01/07/2022;01/07/2022
1;706-UBI;0;0;01/07/2022;01/07/2022
1;706-PTT;0;0;01/07/2022;01/07/2022
1;706-BBR-1;0;0;01/07/2022;01/07/2022
1;706-PLS-2;0;0;01/07/2022;01/07/2022
1;706-BBK;0;0;01/07/2022;01/07/2022
1;706-BBT;0;0;01/07/2022;01/07/2022
1;706-POL-1;0;0;01/07/2022;01/07/2022
1;706-BBR-2;0;0;01/07/2022;01/07/2022
1;706-PFT;0;0;01/07/2022;01/07/2022
1;706-PDS;0;0;01/07/2022;01/07/2022
1;706-KRG;0;0;01/07/2022;01/07/2022
1;706-GLM;0;0;01/07/2022;01/07/2022
1;706-ALK-3;0;0;01/07/2022;01/07/2022
1;706-BTM;0;0;01/07/2022;01/07/2022
1;706-BHT;0;0;01/07/2022;01/07/2022
1;706-PPK-6;0;0;01/07/2022;01/07/2022
1;706-PPK-7;0;0;01/07/2022;01/07/2022
1;706-PPK-8;0;0;01/07/2022;01/07/2022
1;706-BHK;0;0;01/07/2022;01/07/2022
1;706-ATK;0;0;01/07/2022;01/07/2022
1;706-MBK;0;0;01/07/2022;01/07/2022
1;706-MJM;0;0;01/07/2022;01/07/2022
1;706-BMM;0;0;01/07/2022;01/07/2022
1;706-BFG;0;0;01/07/2022;01/07/2022
1;706-MTM;0;0;01/07/2022;01/07/2022
1;706-ABM;0;0;01/07/2022;01/07/2022
1;706-HER;0;0;01/07/2022;01/07/2022
1;706-INC;0;0;01/07/2022;01/07/2022
1;706-JSR;0;0;01/07/2022;01/07/2022
1;706-PET;0;0;01/07/2022;01/07/2022
1;706-INM;0;0;01/07/2022;01/07/2022
1;706-PPK-9;0;0;01/07/2022;01/07/2022
1;706-PPK-10;0;0;01/07/2022;01/07/2022
1;706-PON;0;0;01/07/2022;01/07/2022
1;706-BJG-3;0;0;01/07/2022;01/07/2022
1;706-BJG-4;0;0;01/07/2022;01/07/2022
1;706-BCB-3;0;0;01/07/2022;01/07/2022
1;706-BCB-4;0;0;01/07/2022;01/07/2022
1;706-BBY-3;0;0;01/07/2022;01/07/2022
1;706-BKP;0;0;01/07/2022;01/07/2022
1;706-SAW;0;0;01/07/2022;01/07/2022
1;706-BLC-3;0;0;01/07/2022;01/07/2022
1;706-BTM-3;0;0;01/07/2022;01/07/2022
1;706-BKN-2;0;0;01/07/2022;01/07/2022
1;706-BKAY;0;0;01/07/2022;01/07/2022
1;706-BBS-2;0;0;01/07/2022;01/07/2022
1;706-BPC-2;0;0;01/07/2022;01/07/2022
1;706-BKB-1;0;0;01/07/2022;01/07/2022
1;706-BSM-1;0;0;01/07/2022;01/07/2022
1;706-BML-1;0;0;01/07/2022;01/07/2022
1;706-BRS-1;0;0;01/07/2022;01/07/2022
1;706-TRS-1;0;0;01/07/2022;01/07/2022
1;706-PLS-3;0;0;01/07/2022;01/07/2022
1;706-PLS-4;0;0;01/07/2022;01/07/2022
1;706-PLS-5;0;0;01/07/2022;01/07/2022
1;706-PLS-6;0;0;01/07/2022;01/07/2022
1;706-CUR;0;0;01/07/2022;01/07/2022
1;706-FUA;0;0;01/07/2022;01/07/2022
1;706-FUR;0;0;01/07/2022;01/07/2022
1;706-BKK-1;0;0;01/07/2022;01/07/2022
1;706-BKH-1;0;0;01/07/2022;01/07/2022
1;706-AMP;0;0;01/07/2022;01/07/2022
1;706-PLS-7;0;0;01/07/2022;01/07/2022
1;706-PBB;0;0;01/07/2022;01/07/2022
1;706-GLU;800;0;01/01/2023;01/01/2023
1;706-HCL;420;0;01/01/2023;01/01/2023
1;706-PHP;400;0;01/01/2023;01/01/2023
1;706-MNS;410;0;01/01/2023;01/01/2023
1;706-MTL-1;0;0;01/01/2023;01/01/2023
1;706-CCH;0;0;01/01/2023;01/01/2023
1;706-WPM;0;0;01/01/2023;01/01/2023
1;706-ALK-1;0;0;01/01/2023;01/01/2023
1;706-MKJ;0;0;01/01/2023;01/01/2023
1;706-DCA;1;0;01/01/2023;01/01/2023
1;706-KNO;2000;0;01/01/2023;01/01/2023
1;706-CNO;1000;0;01/01/2023;01/01/2023
1;706-FEB;0;0;01/01/2023;01/01/2023
1;706-MNP;940;0;01/01/2023;01/01/2023
1;706-KSO;880;0;01/01/2023;01/01/2023
1;706-AEN;0;0;01/01/2023;01/01/2023
1;706-MGM;0;0;01/01/2023;01/01/2023
1;706-MNG;0;0;01/01/2023;01/01/2023
1;706-CUP;500;0;01/01/2023;01/01/2023
1;706-ZNC;0;0;01/01/2023;01/01/2023
1;706-ISO;0;0;01/01/2023;01/01/2023
1;706-AMO;0;0;01/01/2023;01/01/2023
1;706-PIS;0;0;01/01/2023;01/01/2023
1;706-IOD;1050;0;01/01/2023;01/01/2023
1;706-MTH;250;0;01/01/2023;01/01/2023
1;706-EOS;50;0;01/01/2023;01/01/2023
1;706-AQU;0;0;01/01/2023;01/01/2023
1;706-BEN;0;0;01/01/2023;01/01/2023
1;706-PRO;0;0;01/01/2023;01/01/2023
1;706-MBS;0;0;01/01/2023;01/01/2023
1;706-BKN-1;0;0;01/01/2023;01/01/2023
1;706-DET;0;0;01/01/2023;01/01/2023
1;706-DDK;0;0;01/01/2023;01/01/2023
1;706-BBD;0;0;01/01/2023;01/01/2023
1;706-BBY-1;0;0;01/01/2023;01/01/2023
1;706-BBY-2;0;0;01/01/2023;01/01/2023
1;706-BSL-1;0;0;01/01/2023;01/01/2023
1;706-BTM-1;0;0;01/01/2023;01/01/2023
1;706-BTM-2;0;0;01/01/2023;01/01/2023
1;706-BLC-1;0;0;01/01/2023;01/01/2023
1;706-BCB-1;0;0;01/01/2023;01/01/2023
1;706-BCM-1;0;0;01/01/2023;01/01/2023
1;706-BPC-1;0;0;01/01/2023;01/01/2023
1;706-BLC-2;0;0;01/01/2023;01/01/2023
1;706-BTT-1;0;0;01/01/2023;01/01/2023
1;706-BBC-1;0;0;01/01/2023;01/01/2023
1;706-BBS-1;0;0;01/01/2023;01/01/2023
1;706-BTT-2;0;0;01/01/2023;01/01/2023
1;706-BCB-2;0;0;01/01/2023;01/01/2023
1;706-BJG-1;0;0;01/01/2023;01/01/2023
1;706-BKM-1;0;0;01/01/2023;01/01/2023
1;706-TSP;0;0;01/01/2023;01/01/2023
1;706-PPK-1;0;1;01/01/2023;01/01/2023
1;706-BTT-3;0;0;01/01/2023;01/01/2023
1;706-BTT-4;0;0;01/01/2023;01/01/2023
1;706-BJG-2;0;0;01/01/2023;01/01/2023
1;706-TNH-1;0;0;01/01/2023;01/01/2023
1;706-CCP;0;0;01/01/2023;01/01/2023
1;706-SKB;0;0;01/01/2023;01/01/2023
1;706-PPK-2;0;0;01/01/2023;01/01/2023
1;706-PPK-3;0;0;01/01/2023;01/01/2023
1;706-TOB;0;0;01/01/2023;01/01/2023
1;706-PPK-4;0;0;01/01/2023;01/01/2023
1;706-TNH-2;0;0;01/01/2023;01/01/2023
1;706-KAF;0;0;01/01/2023;01/01/2023
1;706-FSW;0;0;01/01/2023;01/01/2023
1;706-LFX;0;0;01/01/2023;01/01/2023
1;706-MDM;0;0;01/01/2023;01/01/2023
1;706-AGR;0;0;01/01/2023;01/01/2023
1;706-DPX;0;0;01/01/2023;01/01/2023
1;706-PLS-1;0;0;01/01/2023;01/01/2023
1;706-BTN-1;0;0;01/01/2023;01/01/2023
1;706-BTN-2;0;0;01/01/2023;01/01/2023
1;706-BTN-3;0;0;01/01/2023;01/01/2023
1;706-KRS-1;0;0;01/01/2023;01/01/2023
1;706-AGR-2;1;0;01/01/2023;01/01/2023
1;706-AGR-3;500;0;01/01/2023;01/01/2023
1;706-ARG-1;0;0;01/01/2023;01/01/2023
1;706-ALK-2;0;0;01/01/2023;01/01/2023
1;706-HNO;1000;0;01/01/2023;01/01/2023
1;706-BFR-1;100;0;01/01/2023;01/01/2023
1;706-BFR-2;250;0;01/01/2023;01/01/2023
1;706-DXT;500;0;01/01/2023;01/01/2023
1;706-SPR;0;0;01/01/2023;01/01/2023
1;706-PPK-5;0;0;01/01/2023;01/01/2023
1;706-CLX;0;0;01/01/2023;01/01/2023
1;706-MNA;1;0;01/01/2023;01/01/2023
1;706-KAM;2000;0;01/01/2023;01/01/2023
1;706-FEE;100;0;01/01/2023;01/01/2023
1;706-MKP;2000;0;01/01/2023;01/01/2023
